시군구코드,연도,시군구명,대졸인구비율,대졸인구비율등급,여성종사자비율,여성종사자비율등급,20세미만인구성장률,20세미만인구성장률등급,투표율,투표율등급,재정자립도,재정자립도등급,경제활동인구대비종사자수,경제활동인구대비종사자수등급,1인당지역내총생산,1인당지역내총생산등급,특허출원건수,특허출원건수등급,1인당주민세,1인당주민세등급,1인당공원면적,1인당공원면적등급,도로밀도,도로밀도등급,1만인당공무원수,1만인당공무원수등급,건축허가면적증감률,건축허가면적증감률등급,주민등록인구전출입률,주민등록인구전출입률등급,폐기물재활용률,폐기물재활용률등급,1만인당사회복지시설수,1만인당사회복지시설수등급,1만인당문화체육시설수,1만인당문화체육시설수등급,1만인당축제건수,1만인당축제건수등급,비영리단체수,비영리단체수등급
41650,2024,경기도 포천시,,,,,,,,,22.77,6,,,,,,,,,,,,,,,,,-0.70901932,5,,,,,,,,,39,5
41670,2024,경기도 여주시,,,,,,,,,20.95,6,,,,,,,,,,,,,,,,,0.713724806,7,,,,,,,,,19,3
41800,2024,경기도 연천군,,,,,,,,,15.26,5,,,,,,,,,,,,,,,,,-0.834434493,4,,,,,,,,,21,3
41820,2024,경기도 가평군,,,,,,,,,18.29,5,,,,,,,,,,,,,,,,,1.090728805,7,,,,,,,,,35,5
41830,2024,경기도 양평군,,,,,,,,,17.46,5,,,,,,,,,,,,,,,,,1.887164443,8,,,,,,,,,113,7
43110,2024,충청북도 청주시,,,,,,,,,18.91,5,,,,,,,,,,,,,,,,,0.170588215,6,,,,,,,,,74,6
43130,2024,충청북도 충주시,,,,,,,,,18.03,5,,,,,,,,,,,,,,,,,0.37303542,6,,,,,,,,,59,5
43150,2024,충청북도 제천시,,,,,,,,,16.7,5,,,,,,,,,,,,,,,,,-0.24599121,5,,,,,,,,,31,5
43720,2024,충청북도 보은군,,,,,,,,,17.77,5,,,,,,,,,,,,,,,,,-0.558882236,5,,,,,,,,,12,3
43730,2024,충청북도 옥천군,,,,,,,,,13.97,5,,,,,,,,,,,,,,,,,-1.173028258,4,,,,,,,,,27,5
43740,2024,충청북도 영동군,,,,,,,,,18.35,5,,,,,,,,,,,,,,,,,-0.890860341,4,,,,,,,,,16,3
43745,2024,충청북도 증평군,,,,,,,,,13.56,3,,,,,,,,,,,,,,,,,-0.639831538,5,,,,,,,,,15,3
43750,2024,충청북도 진천군,,,,,,,,,12.08,3,,,,,,,,,,,,,,,,,-0.080938891,6,,,,,,,,,5,3
43760,2024,충청북도 괴산군,,,,,,,,,11.87,3,,,,,,,,,,,,,,,,,0.442410705,6,,,,,,,,,6,3
43770,2024,충청북도 음성군,,,,,,,,,13.48,3,,,,,,,,,,,,,,,,,-0.484736254,5,,,,,,,,,4,3
43800,2024,충청북도 단양군,,,,,,,,,11.74,3,,,,,,,,,,,,,,,,,0.230220814,6,,,,,,,,,6,3
44130,2024,충청남도 천안시,,,,,,,,,15.42,5,,,,,,,,,,,,,,,,,-0.987617485,4,,,,,,,,,7,3
44150,2024,충청남도 공주시,,,,,,,,,12.1,3,,,,,,,,,,,,,,,,,-1.795194706,4,,,,,,,,,5,3
44180,2024,충청남도 보령시,,,,,,,,,7.56,3,,,,,,,,,,,,,,,,,-0.100340284,5,,,,,,,,,3,3
44200,2024,충청남도 아산시,,,,,,,,,8.54,3,,,,,,,,,,,,,,,,,-1.663352893,4,,,,,,,,,5,3
44210,2024,충청남도 서산시,,,,,,,,,8.84,3,,,,,,,,,,,,,,,,,-1.309655938,4,,,,,,,,,11,3
44230,2024,충청남도 논산시,,,,,,,,,10.15,3,,,,,,,,,,,,,,,,,-0.314826475,5,,,,,,,,,7,3
44250,2024,충청남도 계룡시,,,,,,,,,10.06,3,,,,,,,,,,,,,,,,,0.192804394,6,,,,,,,,,38,5
44270,2024,충청남도 당진시,,,,,,,,,27.56,7,,,,,,,,,,,,,,,,,0.304258329,6,,,,,,,,,22,3
44710,2024,충청남도 금산군,,,,,,,,,17.72,5,,,,,,,,,,,,,,,,,0.232096931,6,,,,,,,,,251,10
44760,2024,충청남도 부여군,,,,,,,,,14.49,5,,,,,,,,,,,,,,,,,-0.62690073,5,,,,,,,,,24,3
44770,2024,충청남도 서천군,,,,,,,,,10.32,3,,,,,,,,,,,,,,,,,-0.068791562,6,,,,,,,,,13,3
44790,2024,충청남도 청양군,,,,,,,,,11.26,3,,,,,,,,,,,,,,,,,-0.284208779,5,,,,,,,,,13,3
44800,2024,충청남도 홍성군,,,,,,,,,9.66,3,,,,,,,,,,,,,,,,,-0.105623292,5,,,,,,,,,12,3
44810,2024,충청남도 예산군,,,,,,,,,16.17,5,,,,,,,,,,,,,,,,,-0.478867935,5,,,,,,,,,9,3
44825,2024,충청남도 태안군,,,,,,,,,27.88,7,,,,,,,,,,,,,,,,,0.504986306,6,,,,,,,,,20,3
46110,2024,전라남도 목포시,,,,,,,,,9.17,3,,,,,,,,,,,,,,,,,0.388944058,6,,,,,,,,,13,3
46130,2024,전라남도 여수시,,,,,,,,,23.93,6,,,,,,,,,,,,,,,,,0.826428164,7,,,,,,,,,19,3
46150,2024,전라남도 순천시,,,,,,,,,13.5,3,,,,,,,,,,,,,,,,,0.073120796,6,,,,,,,,,151,8
46170,2024,전라남도 나주시,,,,,,,,,33.41,8,,,,,,,,,,,,,,,,,0.572493636,6,,,,,,,,,32,5
46230,2024,전라남도 광양시,,,,,,,,,12.15,3,,,,,,,,,,,,,,,,,0.176729032,6,,,,,,,,,25,5
46710,2024,전라남도 담양군,,,,,,,,,13.73,5,,,,,,,,,,,,,,,,,-1.186820218,4,,,,,,,,,50,5
