"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"43",충청북도,"43720",충청북도 보은군,"3332040 ",산외면,"2018","2018",-60.15,1,-15.07,1,58.24
"43",충청북도,"43720",충청북도 보은군,"3332040 ",산외면,"2016","2016",-60.15,1,-11.29,2,56.18
"43",충청북도,"43720",충청북도 보은군,"3332039 ",내북면,"2019","2019",-73.08,2,-7.08,1,58.79
"43",충청북도,"43720",충청북도 보은군,"3332033 ",마로면,"2013","2013",-73.11,5,,,60.59
"43",충청북도,"43720",충청북도 보은군,"3332011 ",보은읍,"2013","2013",-34.19,2,,,62.38
"43",충청북도,"43110",충청북도 청주시,"3304352 ",복대1동,"2017","2017",18.04,1,2.21,0,36.12
"43",충청북도,"43110",충청북도 청주시,"3304157 ",용암1동,"2017","2017",4.55,3,1.23,1,29.81
"43",충청북도,"43110",충청북도 청주시,"3304132 ",미원면,"2017","2017",-51.87,1,2.35,0,49.88
"43",충청북도,"43110",충청북도 청주시,"3304255 ",산남동,"2019","2019",-2.48,5,-0.51,2,26.29
"43",충청북도,"43110",충청북도 청주시,"3301262 ",가경동,"2013","2013",25.33,1,2.56,0,11.08
"43",충청북도,"43110",충청북도 청주시,"3301159 ",내덕1동,"2013","2013",-53.46,5,-12.99,1,84.75
"43",충청북도,"43110",충청북도 청주시,"3304332 ",옥산면,"2018","2018",-17.15,,,,
"43",충청북도,"43110",충청북도 청주시,"3304156 ",용담·명암·산성동,"2018","2018",-8.87,,,,
"11",서울특별시,"11230",서울특별시 동대문구,"1106089 ",이문1동,"2018","2018",-4.97,5,-1.55,2,89.9
"11",서울특별시,"11230",서울특별시 동대문구,"1106082 ",제기동,"2018","2018",-0.47,5,-3.16,2,83.27
"11",서울특별시,"11230",서울특별시 동대문구,"1106088 ",장안2동,"2016","2016",0.8,2,1.59,0,78.91
"11",서울특별시,"11230",서울특별시 동대문구,"1106073 ",휘경2동,"2014","2014",-3.06,2,-2.71,1,67.39
"11",서울특별시,"11230",서울특별시 동대문구,"1106090 ",이문2동,"2013","2013",-2.29,4,-18.5,2,72.48
"11",서울특별시,"11230",서울특별시 동대문구,"1106082 ",제기동,"2013","2013",,,-11.88,3,79.42
"11",서울특별시,"11230",서울특별시 동대문구,"1106071 ",회기동,"2013","2013",-31.27,2,-5.78,1,66.53
"11",서울특별시,"11320",서울특별시 도봉구,"1110061 ",창3동,"2017","2017",-21.73,5,-5.51,2,82.18
"11",서울특별시,"11320",서울특별시 도봉구,"1110054 ",쌍문4동,"2019","2019",-19.82,5,-1.36,2,68.55
"43",충청북도,"43110",충청북도 청주시,"3304354 ",가경동,"2017","2017",-4.89,5,-4.11,3,41.74
"43",충청북도,"43110",충청북도 청주시,"3304251 ",사직1동,"2017","2017",-49.32,3,-12.16,1,88.09
"43",충청북도,"43110",충청북도 청주시,"3304152 ",성안동,"2017","2017",-34.47,5,-15.24,4,87.5
"43",충청북도,"43110",충청북도 청주시,"3304455 ",율량·사천동,"2016","2016",-2.67,0,3.36,0,49.91
"43",충청북도,"43110",충청북도 청주시,"3304157 ",용암1동,"2016","2016",4.55,3,1.37,0,21.45
"43",충청북도,"43110",충청북도 청주시,"3304453 ",내덕1동,"2019","2019",-57.56,5,0.28,1,86.86
"43",충청북도,"43110",충청북도 청주시,"3304332 ",옥산면,"2019","2019",-17.15,2,7.39,0,43.65
"43",충청북도,"43110",충청북도 청주시,"3304257 ",수곡1동,"2019","2019",-26.02,5,-4.82,3,85.3
"43",충청북도,"43110",충청북도 청주시,"3304153 ",탑·대성동,"2019","2019",-36.91,5,-20.84,3,84.21
"43",충청북도,"43110",충청북도 청주시,"3304131 ",낭성면,"2019","2019",-52.98,2,-2.4,2,50.03
"43",충청북도,"43110",충청북도 청주시,"3301267 ",산남동,"2014","2014",,,3.28,0,19.85
"43",충청북도,"43110",충청북도 청주시,"3301263 ",봉명1동,"2014","2014",-23.27,5,-17.91,2,75.57
"43",충청북도,"43110",충청북도 청주시,"3301260 ",복대1동,"2014","2014",11.47,1,2.07,0,35.57
"43",충청북도,"43110",충청북도 청주시,"3301257 ",수곡1동,"2014","2014",-16.35,5,-8.68,2,81.36
"11",서울특별시,"11230",서울특별시 동대문구,"1106089 ",이문1동,"2019","2019",-4.97,5,-7.77,3,89.86
"11",서울특별시,"11230",서울특별시 동대문구,"1106087 ",장안1동,"2019","2019",3.14,1,-1.84,1,68.8
"11",서울특별시,"11230",서울특별시 동대문구,"1106072 ",휘경1동,"2016","2016",-33.37,5,-1.74,1,86.04
"11",서울특별시,"11230",서울특별시 동대문구,"1106071 ",회기동,"2016","2016",-19.68,3,-5.08,1,75.72
"11",서울특별시,"11230",서울특별시 동대문구,"1106089 ",이문1동,"2014","2014",68.69,5,-8.46,1,80.93
"11",서울특별시,"11320",서울특별시 도봉구,"1110056 ",방학2동,"2017","2017",-27.42,5,-4.93,3,78.54
"11",서울특별시,"11320",서울특별시 도봉구,"1110053 ",쌍문3동,"2019","2019",-14.99,5,0.24,0,74.38
"11",서울특별시,"11320",서울특별시 도봉구,"1110051 ",쌍문1동,"2018","2018",-23.18,4,-4.39,1,73.4
"41",경기도,"41410",경기도 군포시,"3116055 ",산본2동,"2017","2017",-0.81,4,6.22,2,72.65
"41",경기도,"41410",경기도 군포시,"3116062 ",대야동,"2018","2018",3.24,1,3.36,1,39.28
"41",경기도,"41410",경기도 군포시,"3116054 ",산본1동,"2018","2018",-24.99,5,-1.02,2,80.33
"41",경기도,"41410",경기도 군포시,"3116052 ",군포2동,"2019","2019",21.98,4,6.57,1,23.35
