시군구코드,연도,시군구명,노령화지수(인구총조사),노령화지수(인구총조사)등급,인구순이동률,인구순이동률등급,인구변화율(인구총조사),인구변화율(인구총조사)등급,평균교육년수,평균교육년수등급,독거노인가구비율,독거노인가구비율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급,소년소녀가장(천인당),소년소녀가장(천인당)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계)등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사)등급,노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,세입자가구비율,세입자가구비율등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,고차산업종사자비율,고차산업종사자비율등급,재정자립도,재정자립도등급,지방세액(1인당),지방세액(1인당)등급,지가변동률(주거),지가변동률(주거)등급,지가변동률(상업),지가변동률(상업)등급,의료보험료,의료보험료등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,공가율,공가율등급,부동산공시지가,부동산공시지가등급,노후건축물비율,노후건축물비율등급,소형주택비율,소형주택비율등급,주거면적(1인당),주거면적(1인당)등급,주택보급율,주택보급율등급,접도율,접도율등급
27230,2024,대구광역시 북구,,,-1.365826493,4,,,,,,,,,,,185.4333231,3,-1.576172955,4,,,78162,7,,,26.70406598,3,,,,,292697,7,,,,,,,,,16.71,5,,,0.085,5,0.123,6,,,,,,,,,,,,,,,,,79.33482981,7,,,,,72.17344803,10,73.19778708,7,,,,,,,44.01410532,9
27260,2024,대구광역시 수성구,,,0.731104577,7,,,,,,,,,,,161.4418529,3,0.436009044,7,,,79184,7,,,28.19190031,3,,,,,280875,7,,,,,,,,,24.12,6,,,0.134,6,0.242,8,,,,,,,,,,,,,,,,,82.073444,7,,,,,59.90766645,10,77.7411986,7,,,,,,,49.60512908,9
27290,2024,대구광역시 달서구,,,-0.862608976,4,,,,,,,,,,,186.6526684,3,-1.091361758,5,,,100449,9,,,27.31403431,3,,,,,367756,8,,,,,,,,,18.29,5,,,0.075,5,0.043,5,,,,,,,,,,,,,,,,,80.69897084,7,,,,,56.17565015,9,75.57899436,7,,,,,,,58.73563798,10
27710,2024,대구광역시 달성군,,,-1.82079354,4,,,,,,,,,,,114.817684,3,-1.718532989,4,,,42982,5,,,24.26127352,3,,,,,177163,6,,,,,,,,,29.99,7,,,0.076,5,0.056,5,,,,,,,,,,,,,,,,,63.05673991,3,,,,,57.78036587,10,54.20129562,3,,,,,,,22.29446688,5
27720,2024,대구광역시 군위군,,,-0.747896541,5,,,,,,,,,,,1209.215017,10,-2.283800244,4,,,10629,3,,,97.02418987,10,,,,,10955,3,,,,,,,,,8.66,3,,,-0.032,4,0.243,8,,,,,,,,,,,,,,,,,72.61051896,6,,,,,46.92609165,9,63.31015447,5,,,,,,,9.292904224,3
28110,2024,인천광역시 중구,,,4.704002681,10,,,,,,,,,,,129.5236705,3,5.130285987,10,,,26621,3,,,22.19544935,3,,,,,119939,5,,,,,,,,,38.05,9,,,0.056,5,0.089,6,,,,,,,,,,,,,,,,,49.49148065,2,,,,,2.997141817,5,48.24946057,3,,,,,,,47.3088069,9
28140,2024,인천광역시 동구,,,-1.451214492,4,,,,,,,,,,,340.6034483,6,-1.993880502,4,,,15804,3,,,41.75208708,5,,,,,37852,3,,,,,,,,,13.1,3,,,0.127,6,0.086,6,,,,,,,,,,,,,,,,,91.0460736,8,,,,,-2.999051428,4,83.11141075,8,,,,,,,35.97557463,7
28177,2024,인천광역시 미추홀구,,,1.75975201,8,,,,,,,,,,,215.7514303,3,1.546570771,8,,,84471,8,,,29.26405937,3,,,,,288651,7,,,,,,,,,14.34,5,,,0.121,6,0.097,6,,,,,,,,,,,,,,,,,86.70922256,8,,,,,4.923095499,5,82.98970895,8,,,,,,,36.40790782,7
28185,2024,인천광역시 연수구,,,1.788047865,8,,,,,,,,,,,91.25422068,3,1.986922042,9,,,52160,6,,,17.93093017,3,,,,,290894,7,,,,,,,,,29.84,7,,,-0.114,4,0.334,10,,,,,,,,,,,,,,,,,71.48026883,6,,,,,4.652540904,5,62.62033341,5,,,,,,,66.19138391,10
28200,2024,인천광역시 남동구,,,-1.031209831,4,,,,,,,,,,,185.8751092,3,-1.257069748,5,,,91471,8,,,26.47166923,3,,,,,345543,8,,,,,,,,,17.22,5,,,0.082,5,0.03,5,,,,,,,,,,,,,,,,,72.4217179,6,,,,,1.176953362,3,68.94613023,6,,,,,,,59.52248493,10
28237,2024,인천광역시 부평구,,,-0.141119221,5,,,,,,,,,,,201.7308234,3,-0.189825514,6,,,93125,8,,,26.31303827,3,,,,,353912,8,,,,,,,,,16.36,5,,,0.105,6,0.088,6,,,,,,,,,,,,,,,,,86.89006467,8,,,,,2.39249884,5,81.18979279,8,,,,,,,54.88932541,10
28245,2024,인천광역시 계양구,,,0.27834577,6,,,,,,,,,,,219.7224251,3,-0.013915352,6,,,51136,6,,,24.84525163,3,,,,,205818,6,,,,,,,,,15.39,5,,,0.098,5,-0.011,4,,,,,,,,,,,,,,,,,77.95328743,7,,,,,3.870236733,5,71.11960393,7,,,,,,,29.29298946,6
28260,2024,인천광역시 서구,,,1.30081506,7,,,,,,,,,,,97.0133376,3,1.554556841,8,,,84811,8,,,18.3640769,3,,,,,461831,9,,,,,,,,,28.36,7,,,0.079,5,-0.114,4,,,,,,,,,,,,,,,,,55.82933067,3,,,,,3.731242202,5,49.46364337,3,,,,,,,49.51471163,9
28710,2024,인천광역시 강화군,,,1.602259301,8,,,,,,,,,,,575.6710695,8,0.575320629,7,,,27022,3,,,71.70301969,8,,,,,37686,3,,,,,,,,,11.92,3,,,0.079,5,0.007,4,,,,,,,,,,,,,,,,,51.31291983,3,,,,,3.824648101,5,48.16977136,3,,,,,,,8.189502095,3
