cell_id,ix,iy,cell_area_m2,impervious_area,impervious_ratio,veg_area,veg_ratio,elev_mean,elev_min,slope_mean,slope_max,flood_area,flood_ratio,flood_label,flood_proba
28_6,28,6,9982.68323607689,0.0,0.0,0.0,0.0,66.9245819091797,55.72383117675781,12.952136435529306,17.472313969066665,0.0,0.0,0,0.012178547381774743
28_7,28,7,9982.565227694064,0.0,0.0,0.0,0.0,66.58390464782715,56.92364501953125,12.25796225600194,15.960872603691527,0.0,0.0,0,0.012637713177407917
28_8,28,8,9982.447217054832,0.0,0.0,0.0,0.0,60.342427571614586,39.00542449951172,15.695005857411022,21.94070409833326,0.0,0.0,0,0.0
28_9,28,9,9982.329203693804,0.0,0.0,0.0,0.0,44.659044456481936,28.762601852416992,16.973941687633285,24.1111116639808,0.0,0.0,0,0.0
28_10,28,10,9982.21118804776,0.0,0.0,0.0,0.0,42.27129650115967,27.206993103027344,16.502875240833497,24.088868628791396,0.0,0.0,0,0.0
28_11,28,11,9982.093169685277,0.0,0.0,0.0,0.0,42.487154197692874,27.168399810791016,18.05299671159902,25.085058187087437,0.0,0.0,0,0.0
28_12,28,12,9981.975149025748,0.0,0.0,0.0,0.0,59.16753972371419,42.291629791259766,18.660447887286544,24.659182121493725,0.0,0.0,0,0.0031328678329203895
28_13,28,13,9981.857125766814,0.0,0.0,0.0,0.0,89.64814529418945,82.95536804199219,18.383346409686173,27.335721517851542,0.0,0.0,0,0.0
28_14,28,14,9981.739100024264,0.0,0.0,0.0,0.0,35.946607208251955,28.12715530395508,21.612986676581368,35.20984853580269,0.0,0.0,0,0.0
28_15,28,15,9981.621071757923,0.0,0.0,0.0,0.0,54.287649154663086,38.53432083129883,22.0754525759685,31.67805439206158,0.0,0.0,0,0.0
28_16,28,16,9981.503041072436,0.0,0.0,0.0,0.0,47.85951919555664,38.54203796386719,14.941316661398384,27.508894050756933,0.0,0.0,0,0.0
28_17,28,17,9981.385007810595,0.0,0.0,0.0,0.0,37.28089828491211,32.12687301635742,7.482592252015874,20.816849643175978,0.0,0.0,0,0.0
28_18,28,18,9981.266972275333,0.0,0.0,0.0,0.0,44.53066368103027,37.35731887817383,8.289726612630393,10.342496634094893,0.0,0.0,0,0.0
28_19,28,19,9981.148933895773,0.0,0.0,0.0,0.0,37.469893264770505,33.42776107788086,5.3760508034591314,10.173154841017244,0.0,0.0,0,0.0027269117179660185
28_20,28,20,9981.03089321863,0.0,0.0,0.0,0.0,44.66202875773112,37.07938003540039,9.955244887775144,17.08871426009927,0.0,0.0,0,0.006152102131171689
28_21,28,21,9980.912850064076,0.0,0.0,0.0,0.0,59.385798645019534,46.5958137512207,17.44971605825733,23.83054338439982,0.0,0.0,0,0.0
28_22,28,22,9980.794804374153,0.0,0.0,0.0,0.0,83.28462715148926,60.52577590942383,19.15448273825897,30.011264781257708,0.0,0.0,0,0.0
28_23,28,23,9980.676756288429,0.0,0.0,0.0,0.0,81.3973892211914,73.37660217285156,9.66390785487886,17.171303301590566,0.0,0.0,0,0.002847459169282562
28_24,28,24,9980.558705515536,0.0,0.0,0.0,0.0,54.24626846313477,42.59614944458008,16.277558592536383,26.428966255289183,0.0,0.0,0,0.0030712988861082485
28_25,28,25,9980.440652288662,0.0,0.0,0.0,0.0,38.887237548828125,33.38153076171875,6.247254512241413,7.757116508896446,0.0,0.0,0,0.0027269117179660185
28_26,28,26,9980.322596706654,0.0,0.0,0.0,0.0,33.071156120300294,29.19452667236328,5.896792795599914,9.655376367435451,0.0,0.0,0,0.0027269117179660185
28_27,28,27,9980.204538606087,2211.745582063332,0.2216132518634975,0.0,0.0,28.927442359924317,27.858287811279297,1.587972733614284,3.1196755324487695,0.0,0.0,0,0.003136797956495657
28_28,28,28,9980.086477923389,9761.337432941422,0.9780814479447794,218.74904498720556,0.0219185520557455,26.850789260864257,25.636213302612305,2.658590345215843,4.393178631430982,0.0,0.0,0,0.5549300263696463
28_29,28,29,9979.9684148273,9932.183917442737,0.9952119590565468,47.78449737897846,0.0047880409428936,26.323721822102865,24.2808837890625,2.540604759718646,4.6919169533350775,0.0,0.0,0,0.8362997576191343
28_30,28,30,9979.850349038425,9638.267001329465,0.9657726984110666,341.58334771161856,0.0342273015891997,26.172189712524418,24.002277374267575,2.130450098214387,3.822057452817481,0.0,0.0,0,0.35169817593688063
28_31,28,31,9979.732281138668,9979.7322811352,0.9999999999996524,0.0,0.0,26.85401611328125,25.43333625793457,1.875421512517089,3.436475305189762,0.0,0.0,0,0.899201370902639
28_32,28,32,9979.614210441556,9979.614210443307,1.0000000000001756,0.0,0.0,28.75695037841797,25.332191467285156,3.998231796423602,5.804704013240395,0.0,0.0,0,0.8981295634656294
28_33,28,33,9979.496137238111,9979.496137231446,0.9999999999993322,0.0,0.0,35.30407028198242,29.975391387939453,6.060133764125951,9.9689291449721,0.0,0.0,0,0.7188113698390057
28_34,28,34,9979.378061783493,9871.090242294576,0.9891488408577672,108.28781949040167,0.0108511591423813,42.67767181396484,37.934669494628906,6.119544934976174,11.594008153766923,0.0,0.0,0,0.3311672980611551
28_35,28,35,9979.2599834907,9275.382369088027,0.9294659508252976,703.8776144053561,0.0705340491749712,33.49526309967041,30.982074737548828,4.560914859153129,14.616222604181964,0.0,0.0,0,0.18190732768984832
28_36,28,36,9979.141903151238,9807.248737652097,0.9827747548669628,171.8931654963223,0.0172252451327544,32.47625370025635,29.758180618286133,3.487269702091038,10.179544481418937,0.0,0.0,0,0.2929995784441133
28_37,28,37,9979.023819903496,9979.023819904023,1.000000000000053,0.0,0.0,33.72500724792481,31.531869888305664,2.2035720714136287,6.299438107265601,0.0,0.0,0,0.7470094566086171
28_38,28,38,9978.9057344113,9834.78205877408,0.985557166339369,144.123675640035,0.0144428336609131,37.44555473327637,31.74993896484375,7.196084563336416,11.410532491694608,0.0,0.0,0,0.24278865932591495
28_39,28,39,9978.787646290495,9600.629202776465,0.9621037688225974,378.1584435101427,0.0378962311770126,34.822011947631836,31.37360382080078,6.163610147478922,18.49945887185861,0.0,0.0,0,0.1395027669596001
