시군구코드,읍면동코드,연도,시군구명,읍면동명,인구변화율(인구총조사),인구변화율(인구총조사)등급,노령화지수(인구총조사),노령화지수(인구총조사)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,소형주택비율,소형주택비율등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계),고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사),노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,고차산업종사자비율,고차산업종사자비율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,부동산공시지가,부동산공시지가등급,접도율,접도율등급,노후건축물비율,노후건축물비율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급
11170,11030590,2022,서울특별시 용산구,용문동,,,,,164.4594478,5,2.09223301,3,5.974477958,5,57.47424911,5,82.9015544,7,78.5488959,5,8.078191239,5,-2.61316699,5,223.6326109,7,,,2167,6,,,25.74551503,7,,,8417,5,-1.376146789,5,-9.351145038,4,5.336426914,6,664,5,824,5,5372320.043,10,35.56034483,7,75.80645161,5,-12.17105263,4,0,5,,
11170,11030630,2022,서울특별시 용산구,이촌1동,,,,,135.46071,5,2.762757386,5,0,3,20.14359793,5,41.20641385,1,75.61837456,5,0,3,-3.178465222,5,114.5698925,7,,,4262,4,,,24.9414794,7,,,17088,7,-8.444444444,4,-4.793944491,4,15.45690214,10,569,5,1117,5,7620961.265,10,10.06024096,3,85.41953232,4,6.227106227,7,0,5,,
11170,11030640,2022,서울특별시 용산구,이촌2동,,,,,136.0408621,5,1.886831276,3,2.071973828,3,43.10452224,5,89.58201393,8,81.11455108,4,1.424952502,3,-3.324099723,5,253.6931818,6,,,1786,6,,,32.25573415,6,,,5537,5,1.637852593,6,3.901046622,6,8.833151581,8,346,5,486,3,7248847.279,10,13.60544218,4,90.6122449,3,-1.098901099,5,0,5,,
11170,11030650,2022,서울특별시 용산구,이태원1동,,,,,1067.516757,6,3.891369946,6,1.550868486,3,171.1623345,7,31.77022274,1,81.61993769,4,6.799531067,5,-4.302252816,5,418.1229773,6,,,1292,7,,,28.60938884,7,,,4516,4,-0.205338809,5,5.578011318,6,4.854218362,6,1794,5,1657,6,8071588.072,10,32.95208655,7,86.94412771,3,-5.921052632,5,11.53846154,7,,
11170,11030660,2022,서울특별시 용산구,이태원2동,,,,,305.005154,5,2.796892342,5,2.5,3,63.7956706,5,56.56722201,3,74.0952381,5,4.106935296,5,-2.956541069,5,312.9757785,6,,,1809,6,,,28.51513241,7,,,6344,5,-0.897129187,5,-4.483500717,4,5.992063492,6,557,5,901,5,4704757.445,9,35.4925776,7,84.88372093,4,-18.49529781,4,-17.39130435,4,,
11170,11030690,2022,서울특별시 용산구,서빙고동,,,,,424.6227164,5,7.46031746,9,1.121856867,3,77.76012708,6,48.06726908,2,74.81296758,5,2.03313253,5,-3.532296376,5,160.121304,7,,,2112,6,,,23.05928595,7,,,9159,5,-16.02982293,4,-12.11573237,4,6.073500967,6,979,5,693,3,5903083.488,10,26.73749447,6,91.88156638,3,-4.444444444,5,0,5,,
11170,11030700,2022,서울특별시 용산구,보광동,,,,,158.0810067,5,1.881104034,3,2.088036117,3,35.15532835,5,56.32911392,3,88.88888889,4,0,3,-5.485765257,5,439.0365449,6,,,2643,5,,,27.90918691,7,,,9470,5,-5.585831063,4,-10.18766756,4,8.465011287,8,447,5,942,5,8088846.34,10,28.39506173,6,94.42013129,3,-16.61016949,4,10,6,,
11170,11030710,2022,서울특별시 용산구,청파동,,,,,512.7265109,5,4.533396947,6,8.545569354,5,53.05331518,5,78.30668605,6,92.43176179,3,11.64607558,6,-1.936212829,5,331.1983471,6,,,3206,5,,,21.48793566,7,,,14920,6,-9.248554913,4,2.94426919,6,2.420543044,5,2604,6,2096,6,4915689.509,9,33.39024853,7,81.91049267,4,9.026128266,7,-6.116207951,5,,
11170,11030720,2022,서울특별시 용산구,원효로1동,,,,,578.3364442,6,4.21710812,6,2.172570016,3,227.309846,7,72.80078895,6,80.88235294,4,15.7790927,7,7.485893417,7,122.3283582,7,,,2049,6,,,15.26825633,8,,,13420,6,2.044790652,6,-17.03623128,4,12.66474465,10,3897,7,2303,6,5767402.786,10,27.18266254,6,82.83343969,4,-11.6027532,4,-9.574468085,4,,
11170,11030730,2022,서울특별시 용산구,한강로동,,,,,2338.935179,9,8.460656859,10,1.170619276,3,684.7902839,10,59.06388169,3,81.27506014,4,33.66366824,9,-2.389376465,5,181.0873337,7,,,3131,5,,,19.11127388,7,,,16383,7,-8.864265928,4,6.119049145,6,6.518266917,7,14547,10,5846,10,8711478.344,10,19.12329724,5,83.57805255,4,-13.32252836,4,-11.53846154,4,,
