시도코드,시도명,시군구코드,시군구명,기준연도,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
47,경상북도,47170,경상북도 안동시,2024,2024,-20.13050885,4,1.31138976,0,68.69175199
47,경상북도,47190,경상북도 구미시,2024,2024,-0.990799546,5,-1.928598883,1,56.35675447
47,경상북도,47210,경상북도 영주시,2024,2024,-27.23136654,5,0.57151566,1,67.13701989
47,경상북도,47230,경상북도 영천시,2024,2024,-20.18828018,5,-7.396449704,2,61.7948608
47,경상북도,47250,경상북도 상주시,2024,2024,-36.45951417,5,0.10904276,0,64.30331894
47,경상북도,47280,경상북도 문경시,2024,2024,-43.68426342,5,3.354807342,1,67.5887788
47,경상북도,47290,경상북도 경산시,2024,2024,-0.144059135,2,-3.715412333,1,58.58103399
47,경상북도,47730,경상북도 의성군,2024,2024,-50.00670815,5,-4.1898527,1,72.24178238
47,경상북도,47750,경상북도 청송군,2024,2024,-46.36164183,5,3.765411529,1,57.2303283
47,경상북도,47760,경상북도 영양군,2024,2024,-50.41706769,5,9.265536723,0,62.0870667
47,경상북도,47770,경상북도 영덕군,2024,2024,-48.61728961,5,0.622665006,0,63.1869244
47,경상북도,47820,경상북도 청도군,2024,2024,-33.93373544,5,-1.254860375,1,69.37952308
47,경상북도,47830,경상북도 고령군,2024,2024,-17.60565363,5,-1.31112686,1,68.91392439
47,경상북도,47840,경상북도 성주군,2024,2024,-25.69797672,5,-6.274404201,1,57.20434063
47,경상북도,47850,경상북도 칠곡군,2024,2024,-5.600115677,5,-3.241289405,1,51.50274931
47,경상북도,47900,경상북도 예천군,2024,2024,-33.14347777,2,2.390852391,0,65.03181526
47,경상북도,47920,경상북도 봉화군,2024,2024,-49.33468574,5,1.987507098,1,66.24146198
47,경상북도,47930,경상북도 울진군,2024,2024,-35.26075154,5,3.279254401,0,71.89041342
47,경상북도,47940,경상북도 울릉군,2024,2024,-46.36524243,2,6.709677419,0,73.22297955
48,경상남도,48120,경상남도 창원시,2024,2024,-6.473106589,5,-2.891480573,3,71.55581778
48,경상남도,48170,경상남도 진주시,2024,2024,0.322735919,4,-3.114717597,1,71.7313
48,경상남도,48220,경상남도 통영시,2024,2024,-11.1690095,5,0.275652953,0,72.03086894
48,경상남도,48240,경상남도 사천시,2024,2024,-7.637169745,5,0.235705596,0,63.54471926
48,경상남도,48250,경상남도 김해시,2024,2024,2.908586447,5,-3.838893336,1,54.12009484
